time,event,node,packet,noise
2.927442,COLLISION,8,,
2.927630,RX,8,30,0.395000
2.934739,RX,5,29,0.000000
2.938438,RX,7,29,0.000000
2.943977,COLLISION,3,,
2.947864,RX,1,30,0.000000
2.952902,COLLISION,4,,
2.985670,COLLISION,9,,
2.985858,RX,5,30,0.000000
2.985858,RX,9,30,0.395000
3.004041,COLLISION,4,,
3.004229,RX,0,30,0.000000
3.005683,RX,2,31,0.000000
3.005683,RX,6,31,0.000000
3.017288,TX,8,32,0.000000
3.035676,RX,1,31,0.000000
3.049724,TX,1,34,0.000000
3.071288,TX,8,33,0.000000
3.073670,RX,5,31,0.000000
3.074964,TX,0,35,0.395000
3.092041,RX,0,31,0.000000
3.117711,COLLISION,2,,
3.125288,TX,8,36,0.000000
3.144005,COLLISION,5,,
3.149034,COLLISION,7,,
3.153262,COLLISION,6,,
3.166955,COLLISION,1,,
3.169268,COLLISION,2,,
3.172944,COLLISION,6,,
3.173275,RX,9,32,0.000000
3.183034,RX,3,32,0.000000
3.183034,RX,7,32,0.395000
3.185698,COLLISION,3,,
3.199569,RX,4,32,0.000000
3.203034,COLLISION,3,,
3.203034,COLLISION,7,,
3.205711,RX,0,34,0.000000
3.217732,COLLISION,5,,
3.220955,COLLISION,1,,
3.223268,COLLISION,2,,
3.227275,RX,9,33,0.000000
3.229309,COLLISION,7,,
3.250168,COLLISION,4,,
3.253569,RX,4,33,0.395000
3.281275,RX,9,36,0.000000
3.287390,RX,8,34,0.000000
3.295262,RX,6,33,0.000000
3.316107,RX,0,32,0.000000
3.329795,TX,0,47,0.395000
3.348542,RX,9,34,0.000000
3.349262,RX,6,36,0.000000
3.359732,RX,5,33,0.000000
3.362955,RX,1,36,0.000000
3.366925,RX,3,35,0.000000
3.370107,RX,0,33,0.000000
3.373783,RX,8,35,0.000000
3.383795,TX,0,48,0.395000
3.390776,TX,5,16,0.395000
3.413732,RX,5,36,0.000000
3.424107,RX,0,36,0.000000
3.429631,RX,4,35,0.000000
3.437795,TX,0,49,0.000000
3.438161,RX,9,35,0.000000
3.458763,COLLISION,6,,
3.481775,COLLISION,6,,
3.485057,COLLISION,1,,
